河名,站名,水位,流量,含沙量,日期
黄河,唐乃亥,2672.68,1180,-,2020-05-10
黄河,龙羊峡入库,-,1190,-,2020-05-10
黄河,龙羊峡蓄水量,2590.69,(205)亿,-,2020-05-10
黄河,龙羊峡出库,-,1050,-,2020-05-10
黄河,刘家峡入库,-,1250,-,2020-05-10
黄河,刘家峡蓄水量,1727.13,(29.9)亿,-,2020-05-10
黄河,刘家峡出库,-,1450,-,2020-05-10
黄河,兰州,1511.9,1550,-,2020-05-10
黄河,下河沿,1230.91,1660,-,2020-05-10
黄河,石嘴山,1086.41,1340,-,2020-05-10
黄河,巴彦高勒,1049.52,691,-,2020-05-10
黄河,三湖河口,1016.84,638,-,2020-05-10
黄河,包头,1001.99,720,-,2020-05-10
黄河,头道拐,986.86,760,-,2020-05-10
黄河,万家寨蓄水量,977.82,(5.16)亿,-,2020-05-10
黄河,万家寨上出库,-,355,-,2020-05-10
黄河,万家寨下,898.65,355,-,2020-05-10
黄河,府谷,807.4,470,-,2020-05-10
黄河,吴堡,635.32,210,-,2020-05-10
黄河,龙门,377.21,390,-,2020-05-10
汾河,河津,371.99,61.1,-,2020-05-10
北洛河,状头,360.92,28,-,2020-05-10
泾河,张家山,420.1,33.5,-,2020-05-10
渭河,咸阳,377.54,220,-,2020-05-10
渭河,华县,335.25,298,-,2020-05-10
黄河,潼关,326.39,960,-,2020-05-10
黄河,史家滩蓄水量,317.33,(5.61)亿,-,2020-05-10
黄河,三门峡,272.89,295,-,2020-05-10
黄河,小浪底上蓄水量,255.05,(47.9)亿,-,2020-05-10
黄河,小浪底,134.12,1210,-,2020-05-10
伊河,东湾,-,-,-,2020-05-10
伊河,陆浑坝上蓄水量,309.34,(3.22)亿,-,2020-05-10
伊河,陆浑坝上出库,-,-,-,2020-05-10
伊河,龙门镇,147.3,5.40,-,2020-05-10
洛河,卢氏,-,-,-,2020-05-10
洛河,故县水库蓄水量,523.31,(4.34)亿,-,2020-05-10
洛河,故县水库出库,-,-,-,2020-05-10
洛河,长水（二）,377.95,3.45,-,2020-05-10
洛河,白马寺,113.33,29.5,-,2020-05-10
伊洛河,黑石关,104.78,39.4,-,2020-05-10
丹河,山路坪,-,-,-,2020-05-10
沁河,五龙口,-,-,-,2020-05-10
沁河,武陟,98.12,0.664,-,2020-05-10
黄河,花园口,89.53,1590,-,2020-05-10
黄河,夹河滩,72.06,1460,-,2020-05-10
黄河,高村,57.93,1450,-,2020-05-10
黄河,孙口,43.32,1320,-,2020-05-10
大清河,戴村坝,-,-,-,2020-05-10
东平湖,东平湖老湖蓄水量,40.08,(3.15)亿,-,2020-05-10
大汶河,出湖闸,-,-,-,2020-05-10
黄河,艾山,36.61,1380,-,2020-05-10
黄河,泺口,25.14,1090,-,2020-05-10
黄河,利津,9.18,873,-,2020-05-10
